epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.5658,1.41512,4.44687,1.40427,0.00206,0.61905,0.00216,0.00141,1.0758,4.49707,1.24742,8e-05,8e-05,8e-05
2,98.7612,1.11419,3.58885,1.09907,0.00333,1,0.03523,0.01767,0.84026,4.01389,0.94165,0.00017406,0.00017406,0.00017406
3,123.782,1.03817,2.29345,1.00101,0.00333,1,0.37365,0.18146,0.87284,3.74236,0.9806,0.00026152,0.00026152,0.00026152
4,148.719,1.01834,2.01793,0.97566,0.00333,1,0.14446,0.06211,1.08154,4.04585,0.96567,0.00034238,0.00034238,0.00034238
5,175.152,1.02642,1.97791,0.97015,0.00333,1,0.0057,0.00379,0.95614,3.99266,0.93914,0.00041664,0.00041664,0.00041664
6,237.88,1.1849,1.80918,0.97889,0.00333,1,0.0068,0.00493,0.90513,3.95346,0.97554,0.0004843,0.0004843,0.0004843
7,262.136,1.00322,1.59347,0.94306,0.00333,1,0.00569,0.00424,0.91245,3.96962,0.98803,0.00054536,0.00054536,0.00054536
8,285.856,0.98589,1.42853,0.94423,0.00333,1,0.00558,0.00356,1.03636,3.94872,1.01055,0.00059982,0.00059982,0.00059982
9,309.78,0.98968,1.42695,0.93962,0.00333,1,0.00502,0.00319,1.04293,3.86347,1.03786,0.00064768,0.00064768,0.00064768
10,335.637,1.00494,1.3376,0.95422,0.00333,1,0.04514,0.03285,0.98351,3.77369,0.99903,0.00068894,0.00068894,0.00068894
11,359.438,0.96708,1.28582,0.94696,0.00333,1,0.35927,0.22691,1.0328,3.62941,1.00113,0.0007236,0.0007236,0.0007236
12,410.673,0.88461,1.32714,0.91178,0.00333,1,0.6887,0.47546,0.95309,3.56477,0.99728,0.00075166,0.00075166,0.00075166
13,491.795,0.94318,1.32931,0.96327,0.00537,1,0.7846,0.53091,0.97161,3.47787,0.99511,0.00077312,0.00077312,0.00077312
14,516.255,0.88333,1.22213,0.93571,1,0.29557,0.95525,0.70186,0.90499,3.21377,0.98968,0.00078798,0.00078798,0.00078798
15,539.925,0.85344,1.30776,0.93252,1,0.78211,0.995,0.73891,0.90342,2.91458,0.97495,0.00079624,0.00079624,0.00079624
16,563.639,0.87202,1.17074,0.9153,1,0.74299,0.995,0.7367,0.92269,2.86577,0.9712,0.0007979,0.0007979,0.0007979
17,587.177,0.93078,1.33117,0.94954,1,0.57903,0.95083,0.67154,0.96198,3.02488,0.99368,0.00079296,0.00079296,0.00079296
18,611.593,0.84589,1.25109,0.89778,1,0.70041,0.95556,0.66966,0.99907,2.82929,0.99572,0.00078142,0.00078142,0.00078142
19,640.278,0.88059,1.12258,0.91725,1,0.81678,0.9571,0.67731,0.98772,2.58441,0.97946,0.00076328,0.00076328,0.00076328
20,668.459,0.85039,1.18406,0.93096,1,0.89658,0.99,0.73967,0.92466,2.23457,0.94523,0.00073854,0.00073854,0.00073854
21,698.906,0.75844,1.41362,0.93482,1,0.89168,0.9886,0.72787,0.91827,2.3308,0.93725,0.00068,0.00068,0.00068
22,727.405,0.76328,1.34896,0.90116,1,0.81478,0.95451,0.72584,0.87729,2.43313,0.94219,0.000614,0.000614,0.000614
23,755.63,0.70866,1.3507,0.86308,0.82197,0.90476,0.92357,0.71137,0.88641,2.32534,0.947,0.000548,0.000548,0.000548
24,781.784,0.67344,1.29566,0.84918,1,0.94576,0.99318,0.75662,0.88444,1.79015,0.93053,0.000482,0.000482,0.000482
25,809.089,0.68201,1.22053,0.8505,1,0.9473,0.995,0.79291,0.82005,1.57615,0.93299,0.000416,0.000416,0.000416
26,835.377,0.71986,1.19308,0.85449,0.95233,0.95134,0.99091,0.78816,0.77641,1.45607,0.93318,0.00035,0.00035,0.00035
27,861.643,0.66559,1.14444,0.86297,0.95247,0.95441,0.99091,0.79063,0.78856,1.39874,0.93151,0.000284,0.000284,0.000284
28,886.005,0.67141,1.18028,0.87482,1,0.94665,0.99318,0.75924,0.86789,1.42394,0.92664,0.000218,0.000218,0.000218
29,909.308,0.67345,1.13906,0.84148,1,0.94673,0.99318,0.75578,0.89029,1.44628,0.92674,0.000152,0.000152,0.000152
30,932.668,0.67964,1.20425,0.86685,1,0.94719,0.99152,0.75163,0.88404,1.44069,0.92509,8.6e-05,8.6e-05,8.6e-05
